id,URL:,НАЗВАНИЕ:,ПУТЬ:,О ТОВАРЕ,ССЫЛКИ НА ФОТОГРАФИИ ТОВАРА:,РАЗМЕРЫ В НАЛИЧИИ:,ЦЕНА:,СТАТИСТИКА:
1,https://www.lamoda.ru/p/la038amcmsk5/shoes-lacoste-kedy/,   Lacoste  Кеды ESPARRE WINTER C 318 3 ,Главная -> Мужчинам -> Обувь -> Кроссовки и кеды -> Кеды -> Высокие кеды,   Материал верха:    натуральная кожа       Внутренний материал:    байка       Материал подошвы:    резина       Материал стельки:    текстиль       Сезон:    зима       Цвет:    черный       Страна производства:    Таиланд       Застежка:    шнурки     Артикул LA038AMCMSK5  Подробнее ,"https://a.lmcdn.ru/product/L/A/LA038AMCMSK5_7106289_1_v1.jpg
https://a.lmcdn.ru/product/L/A/LA038AMCMSK5_7106290_2_v1.jpg
https://a.lmcdn.ru/product/L/A/LA038AMCMSK5_7106291_3_v1.jpg
https://a.lmcdn.ru/product/L/A/LA038AMCMSK5_7106292_4_v1.jpg
https://a.lmcdn.ru/product/L/A/LA038AMCMSK5_7113673_9_v1.jpg
","40 RUS
40,5 RUS
41,5 RUS
42 RUS
42,5 RUS
43,5 RUS
44 RUS
44,5 RUS
45,5 RUS
7 UK
7,5 UK
8 UK
8,5 UK
9 UK
9,5 UK
10 UK
10,5 UK
11 UK
", 8 590 руб. ,2 человека купили этот товар сегодня
2,https://www.lamoda.ru/p/pa050amcnbg1/shoes-patrol-dutiki/,   Patrol  Дутики  ,Главная -> Мужчинам -> Обувь -> Сапоги -> Дутики и луноходы,"   Материал верха:    искусственная кожа, текстиль       Внутренний материал:    шерсть       Материал подошвы:    резина       Материал стельки:    шерсть       Высота голенища / задника:    14  см     Сезон:    демисезон       Цвет:    черный       Страна производства:    Китай       Застежка:    липучки     Артикул PA050AMCNBG1  Подробнее ","https://a.lmcdn.ru/product/P/A/PA050AMCNBG1_7331053_1_v1.jpg
https://a.lmcdn.ru/product/P/A/PA050AMCNBG1_7331054_2_v1.jpg
https://a.lmcdn.ru/product/P/A/PA050AMCNBG1_7331055_3_v1.jpg
https://a.lmcdn.ru/product/P/A/PA050AMCNBG1_7331056_4_v1.jpg
https://a.lmcdn.ru/product/P/A/PA050AMCNBG1_7343591_9_v1.jpg
","40 RUS
41 RUS
42 RUS
43 RUS
44 RUS
45 RUS
", 1 970 руб. ,12 человек купили этот товар сегодня
3,https://www.lamoda.ru/p/mp002xm0ygu3/shoes-alessionesca-slipony/,   Alessio Nesca  Слипоны  ,Главная -> Мужчинам -> Обувь -> Слипоны,   Материал верха:    натуральная кожа       Внутренний материал:    натуральная кожа       Материал подошвы:    полиуретан       Материал стельки:    натуральная кожа       Сезон:    лето       Цвет:    черный       Гарантийный период:    30 дней       Страна производства:    Китай       Застежка:    шнурки     Артикул MP002XM0YGU3  Подробнее ,"https://a.lmcdn.ru/product/M/P/MP002XM0YGU3_6403788_1_v3.jpg
","40 RUS
42 RUS
43 RUS
44 RUS
45 RUS
", 2 499 руб. ,4 человека купили этот товар на этой неделе
4,https://www.lamoda.ru/p/mu454amdagq8/shoes-mustang-kedy/,   Mustang  Кеды  ,Главная -> Мужчинам -> Обувь -> Кроссовки и кеды -> Кеды -> Низкие кеды,   Материал верха:    искусственная кожа       Внутренний материал:    текстиль       Материал подошвы:    резина       Материал стельки:    текстиль       Сезон:    демисезон       Цвет:    коричневый       Цвет фурнитуры:    бронзовый       Страна производства:    Китай       Застежка:    шнурки     Артикул MU454AMDAGQ8  Подробнее ,"https://a.lmcdn.ru/product/M/U/MU454AMDAGQ8_7522664_1_v1.jpg
https://a.lmcdn.ru/product/M/U/MU454AMDAGQ8_7522665_2_v1.jpg
https://a.lmcdn.ru/product/M/U/MU454AMDAGQ8_7522666_3_v1.jpg
https://a.lmcdn.ru/product/M/U/MU454AMDAGQ8_7522667_4_v1.jpg
https://a.lmcdn.ru/product/M/U/MU454AMDAGQ8_7533499_9_v1.jpg
","40 RUS
41 EUR
",2 634 руб.,7 человек купили этот товар сегодня
5,https://www.lamoda.ru/p/mp002xm2428g/shoes-timejump-krossovki/,   TimeJump  Кроссовки  ,Главная -> Мужчинам -> Обувь -> Кроссовки и кеды -> Кроссовки -> Низкие кроссовки,   Материал верха:    текстиль       Внутренний материал:    текстиль       Материал подошвы:    кожволон       Материал стельки:    текстиль       Сезон:    демисезон       Цвет:    черный       Гарантийный период:    90 дней       Страна производства:    Китай       Застежка:    шнурки     Артикул MP002XM2428G  Подробнее ,"https://a.lmcdn.ru/product/M/P/MP002XM2428G_7797458_1_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM2428G_7797459_2_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM2428G_7797460_3_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM2428G_7797461_4_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM2428G_7797462_5_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM2428G_7813665_9_v1.jpg
","42 RUS
43 RUS
44 RUS
45 RUS
", 799 руб. ,6 человек купили этот товар сегодня
6,https://www.lamoda.ru/p/mp002xm23q6h/shoes-briotti-botinki/,   Briotti  Ботинки  ,Главная -> Мужчинам -> Обувь -> Ботинки -> Высокие ботинки,"   Материал верха:    натуральная кожа       Внутренний материал:    натуральный мех       Материал подошвы:    искусственный материал       Материал стельки:    натуральный мех       Сезон:    зима       Цвет:    черный       Гарантийный период:    90 дней       Страна производства:    Россия       Застежка:    шнурки, молния     Артикул MP002XM23Q6H  Подробнее ","https://a.lmcdn.ru/product/M/P/MP002XM23Q6H_6873561_1_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23Q6H_6873562_2_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23Q6H_6873563_3_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23Q6H_6873564_4_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23Q6H_6873366_9_v1.jpg
","40 RUS
41 RUS
42 RUS
43 RUS
44 RUS
45 RUS
", 2 999 руб. ,2 человека купили этот товар сегодня
7,https://www.lamoda.ru/p/hu286amecye3/shoes-hugohugoboss-botinki/,   Hugo Hugo Boss  Ботинки  ,Главная -> Мужчинам -> Premium -> Обувь -> Ботинки -> Низкие ботинки,   Материал верха:    натуральная кожа       Внутренний материал:    текстиль       Материал подошвы:    искусственный материал       Материал стельки:    натуральная кожа       Сезон:    мульти       Цвет:    черный       Страна производства:    Португалия       Застежка:    липучки     Артикул HU286AMECYE3  Подробнее ,"https://a.lmcdn.ru/product/H/U/HU286AMECYE3_7960905_1_v1.jpg
https://a.lmcdn.ru/product/H/U/HU286AMECYE3_7960906_2_v1.jpg
https://a.lmcdn.ru/product/H/U/HU286AMECYE3_7960907_3_v1.jpg
https://a.lmcdn.ru/product/H/U/HU286AMECYE3_7960908_4_v1.jpg
https://a.lmcdn.ru/product/H/U/HU286AMECYE3_7962403_9_v1.jpg
","40 RUS
41 RUS
42 RUS
43 RUS
44 RUS
45 RUS
40 EUR
41 EUR
42 EUR
43 EUR
44 EUR
45 EUR
", 22 500 руб. ,1 человек купил этот товар сегодня
8,https://www.lamoda.ru/p/mp002xm23qwl/shoes-pierrecardin-botinki/,   Pierre Cardin  Ботинки  ,Главная -> Мужчинам -> Обувь -> Ботинки -> Низкие ботинки,"   Материал верха:    натуральная кожа, натуральный нубук       Внутренний материал:    натуральная кожа, текстиль       Материал подошвы:    резина       Материал стельки:    натуральная кожа, текстиль       Сезон:    демисезон       Цвет:    коричневый       Гарантийный период:    90 дней       Страна производства:    Турция       Застежка:    шнурки     Артикул MP002XM23QWL  Подробнее ","https://a.lmcdn.ru/product/M/P/MP002XM23QWL_6876487_1_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23QWL_6876488_2_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23QWL_6876489_3_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23QWL_6876490_4_v1.jpg
https://a.lmcdn.ru/product/M/P/MP002XM23QWL_6917357_9_v2.jpg
","40 RUS
42 RUS
43 RUS
44 RUS
45 RUS
", 3 999 руб. ,7 человек купили этот товар на этой неделе
9,https://www.lamoda.ru/p/ha016amlse31/shoes-happyfamily-botinki/,   Happy Family  Ботинки  ,Главная -> Мужчинам -> Обувь -> Ботинки -> Низкие ботинки,   Материал верха:    натуральная кожа       Внутренний материал:    текстиль       Материал подошвы:    полимер       Материал стельки:    текстиль       Сезон:    демисезон       Цвет:    коричневый       Гарантийный период:    30 дней       Страна производства:    Китай       Застежка:    шнурки     Артикул HA016AMLSE31  Подробнее ,"https://a.lmcdn.ru/product/H/A/HA016AMLSE31_3704475_1_v2.jpg
https://a.lmcdn.ru/product/H/A/HA016AMLSE31_3704476_2_v2.jpg
https://a.lmcdn.ru/product/H/A/HA016AMLSE31_3704477_3_v2.jpg
https://a.lmcdn.ru/product/H/A/HA016AMLSE31_3704478_4_v2.jpg
https://a.lmcdn.ru/product/H/A/HA016AMLSE31_5499521_9_v2.jpg
","40 RUS
41 RUS
42 RUS
43 RUS
",2 583 руб.,7 человек купили этот товар на этой неделе
10,https://www.lamoda.ru/p/ke037amcigx1/shoes-keddo-botinki/,   Keddo  Ботинки  ,Главная -> Мужчинам -> Обувь -> Ботинки -> Высокие ботинки,   Материал верха:    искусственная кожа       Внутренний материал:    искусственный мех       Материал подошвы:    искусственный материал       Материал стельки:    искусственный мех       Сезон:    зима       Цвет:    черный       Страна производства:    Китай       Застежка:    молния     Артикул KE037AMCIGX1  Подробнее ,"https://a.lmcdn.ru/product/K/E/KE037AMCIGX1_7396555_1_v1.jpg
https://a.lmcdn.ru/product/K/E/KE037AMCIGX1_7396556_2_v1.jpg
https://a.lmcdn.ru/product/K/E/KE037AMCIGX1_7396557_3_v1.jpg
https://a.lmcdn.ru/product/K/E/KE037AMCIGX1_7396558_4_v1.jpg
https://a.lmcdn.ru/product/K/E/KE037AMCIGX1_7412715_9_v1.jpg
","40 RUS
41 RUS
42 RUS
43 RUS
44 RUS
",2 064 руб.,5 человек купили этот товар сегодня
